word,category
Clinton,Person
Sanders,Person
Ivanka,Person
Putin,Person
O'Reilly,Person
Obama,Person
Trump,Person
@realdonaldtrump,Person
China,Country
Russia,Country
America,Country
Mexico,Country
Sweden,Country
ISIS,Country
great,Positive
happy,Positive
good,Positive
wonderful,Positive
amazing,Positive
nice,Positive
friends,Positive
crooked,Negative
evil,Negative
corrupt,Negative
mean,Negative
terrible,Negative
stupid,Negative
dumb,Negative
awful,Negative
trump,Other
great,Other
thank,Other
my,Other
trump2016,Other
america,Other
do,Other
Hillary,Other
all,Other
so,Other
just,Other
me,Other
make,Other
new,Other
makeamericagreatagain,Other
people,Other
poll,Other
get,Other
again,Other
out,Other
vote,Other
go,Other
no,Other
donald,Other
very,Other
clinton,Other
president,Other
now,Other
like,Other
time,Other
more,Other
watch,Other
job,Other
support,Other
want,Other
big,Other
Debat,Other
say,Other
am,Other
country,Other
@foxnews,Other
win,Other
one,Other
only,Other
need,Other
up,Other
tonight,Other
interview,Other
back,Other
love,Other
crook,Other
look,Other
today,Other
did,Other
never,Other
@cnn,Other
many,Other
cruz,Other
total,Other
join,Other
said,Other
rt,Other
why,Other
last,Other
show,Other
media,Other
even,Other
good,Other
than,Other
state,Other
american,Other
let,Other
bad,Other
see,Other
much,Other
night,Other
does,Other
were,Other
campaign,Other
know,Other
obama,Other
crowd,Other
fail,Other
other,Other
tomorrow,Other
had,Other
iowa,Other
year,Other
talk,Other
jeb,Other
run,Other
really,Other
nice,Other
work,Other
ca,Other
enjoy,Other
candidate,Other
im,Other
via,Other
speech,Other
U.S,Other
down,Other
rubio,Other
deal,Other
nation,Other
way,Other
wow,Other
day,Other
over,Other
report,Other
take,Other
live,Other
bush,Other
lead,Other
republican,Other
call,Other
illegal,Other
ted,Other
must,Other
right,Other
because,Other
border,Other
million,Other
rally,Other
elect,Other
keep,Other
thing,Other
got,Other
think,Other
against,Other
rate,Other
amazed,Other
come,Other
wonder,Other
after,Other
being,Other
use,Other
MAGA,Other
best,Other
gop,Other
believe,Other
interest,Other
better,Other
morning,Other
carolina,Other
soon,Other
florida,Other
immigrant,Other
true,Other
@megynkelly,Other
politics,Other
made,Other
stop,Other
Hampshire,Other
first,Other
ohio,Other
give,Other
done,Other
ever,Other
into,Other
money,Other
speak,Other
word,Other
most,Other
won,Other
truth,Other
politician,Other
story,Other
